#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.107810E+04   0.324037E+01   0.320464E-02   0.324037E+01   0.466846E-01  -0.155603E-04   0.320464E-02  -0.155603E-04   0.527746E-07
     3   0.101860E+04   0.398806E+01   0.321723E-02   0.398806E+01   0.745155E-01  -0.187547E-04   0.321723E-02  -0.187547E-04   0.643028E-07
     4   0.959566E+03   0.405333E+01   0.315131E-02   0.405333E+01   0.820461E-01  -0.187360E-04   0.315131E-02  -0.187360E-04   0.741598E-07
     5   0.913416E+03   0.372138E+01   0.305333E-02   0.372138E+01   0.713411E-01  -0.163937E-04   0.305333E-02  -0.163937E-04   0.827265E-07
     6   0.880001E+03   0.322474E+01   0.294401E-02   0.322474E+01   0.517309E-01  -0.125036E-04   0.294401E-02  -0.125036E-04   0.902160E-07
     7   0.857354E+03   0.268950E+01   0.283530E-02   0.268950E+01   0.324142E-01  -0.800803E-05   0.283530E-02  -0.800803E-05   0.968208E-07
     8   0.842666E+03   0.217960E+01   0.272798E-02   0.217960E+01   0.185367E-01  -0.389413E-05   0.272798E-02  -0.389413E-05   0.102676E-06
     9   0.834087E+03   0.174873E+01   0.262014E-02   0.174873E+01   0.108614E-01  -0.786334E-06   0.262014E-02  -0.786334E-06   0.107898E-06
    10   0.830239E+03   0.142453E+01   0.251350E-02   0.142453E+01   0.759175E-02   0.126262E-05   0.251350E-02   0.126262E-05   0.112557E-06
    11   0.829841E+03   0.120899E+01   0.241329E-02   0.120899E+01   0.645628E-02   0.259866E-05   0.241329E-02   0.259866E-05   0.116735E-06
    12   0.832962E+03   0.109141E+01   0.232189E-02   0.109141E+01   0.592531E-02   0.310141E-05   0.232189E-02   0.310141E-05   0.120488E-06
    13   0.837864E+03   0.104942E+01   0.224003E-02   0.104942E+01   0.552940E-02   0.262937E-05   0.224003E-02   0.262937E-05   0.123862E-06
    14   0.843863E+03   0.106394E+01   0.216555E-02   0.106394E+01   0.501941E-02   0.153379E-05   0.216555E-02   0.153379E-05   0.126894E-06
    15   0.851301E+03   0.111588E+01   0.209560E-02   0.111588E+01   0.455661E-02   0.289107E-06   0.209560E-02   0.289107E-06   0.129619E-06
    16   0.860536E+03   0.118710E+01   0.202784E-02   0.118710E+01   0.438701E-02  -0.715592E-06   0.202784E-02  -0.715592E-06   0.132070E-06
    17   0.871320E+03   0.126255E+01   0.196205E-02   0.126255E+01   0.464621E-02  -0.143268E-05   0.196205E-02  -0.143268E-05   0.134269E-06
    18   0.882606E+03   0.133164E+01   0.189855E-02   0.133164E+01   0.520246E-02  -0.189988E-05   0.189855E-02  -0.189988E-05   0.136240E-06
    19   0.895499E+03   0.139196E+01   0.183763E-02   0.139196E+01   0.581357E-02  -0.215494E-05   0.183763E-02  -0.215494E-05   0.138003E-06
    20   0.908581E+03   0.144126E+01   0.177961E-02   0.144126E+01   0.632350E-02  -0.223558E-05   0.177961E-02  -0.223558E-05   0.139581E-06
    21   0.922008E+03   0.148326E+01   0.172471E-02   0.148326E+01   0.675598E-02  -0.217763E-05   0.172471E-02  -0.217763E-05   0.140992E-06
    22   0.935853E+03   0.151965E+01   0.167282E-02   0.151965E+01   0.724815E-02  -0.200935E-05   0.167282E-02  -0.200935E-05   0.142248E-06
    23   0.949910E+03   0.155362E+01   0.162373E-02   0.155362E+01   0.796649E-02  -0.175706E-05   0.162373E-02  -0.175706E-05   0.143358E-06
