#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104501E-04   0.198309E+08   0.198309E+08   0.264274E+08   0.264270E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198387E+08  -0.471824E+00   0.103990E+08   0.103990E+08   0.138730E+01
   0.127096E-04   0.198309E+08   0.198309E+08   0.264208E+08   0.264202E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198386E+08  -0.471824E+00   0.103990E+08   0.103990E+08   0.168711E+01
   0.154576E-04   0.198309E+08   0.198309E+08   0.264110E+08   0.264102E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198386E+08  -0.471823E+00   0.103990E+08   0.103990E+08   0.205163E+01
   0.187998E-04   0.198308E+08   0.198308E+08   0.263965E+08   0.263953E+08   0.000000E+00   0.198308E+08   0.198308E+08   0.198386E+08  -0.471823E+00   0.103990E+08   0.103990E+08   0.249475E+01
   0.228647E-04   0.198308E+08   0.198308E+08   0.263752E+08   0.263733E+08   0.000000E+00   0.198308E+08   0.198308E+08   0.198385E+08  -0.471821E+00   0.103989E+08   0.103989E+08   0.303331E+01
   0.278084E-04   0.198307E+08   0.198307E+08   0.263436E+08   0.263409E+08   0.000000E+00   0.198307E+08   0.198307E+08   0.198385E+08  -0.471819E+00   0.103989E+08   0.103989E+08   0.368763E+01
   0.338210E-04   0.198306E+08   0.198306E+08   0.262969E+08   0.262929E+08   0.000000E+00   0.198306E+08   0.198306E+08   0.198384E+08  -0.471817E+00   0.103989E+08   0.103989E+08   0.448221E+01
   0.411337E-04   0.198305E+08   0.198305E+08   0.262279E+08   0.262221E+08   0.000000E+00   0.198305E+08   0.198305E+08   0.198382E+08  -0.471812E+00   0.103988E+08   0.103988E+08   0.544639E+01
   0.500274E-04   0.198303E+08   0.198303E+08   0.261263E+08   0.261177E+08   0.000000E+00   0.198303E+08   0.198303E+08   0.198380E+08  -0.471806E+00   0.103987E+08   0.103987E+08   0.661511E+01
   0.608442E-04   0.198300E+08   0.198300E+08   0.259766E+08   0.259639E+08   0.000000E+00   0.198300E+08   0.198300E+08   0.198376E+08  -0.471797E+00   0.103985E+08   0.103985E+08   0.802947E+01
   0.739997E-04   0.198296E+08   0.198296E+08   0.257566E+08   0.257380E+08   0.000000E+00   0.198296E+08   0.198296E+08   0.198371E+08  -0.471784E+00   0.103983E+08   0.103983E+08   0.973699E+01
   0.899996E-04   0.198289E+08   0.198289E+08   0.254344E+08   0.254071E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198364E+08  -0.471765E+00   0.103979E+08   0.103979E+08   0.117911E+02
   0.109459E-03   0.198280E+08   0.198279E+08   0.249645E+08   0.249248E+08   0.000000E+00   0.198280E+08   0.198280E+08   0.198353E+08  -0.471736E+00   0.103974E+08   0.103974E+08   0.142492E+02
   0.133126E-03   0.198266E+08   0.198265E+08   0.242842E+08   0.242267E+08   0.000000E+00   0.198266E+08   0.198266E+08   0.198337E+08  -0.471693E+00   0.103967E+08   0.103967E+08   0.171676E+02
   0.161910E-03   0.198245E+08   0.198244E+08   0.233091E+08   0.232269E+08   0.000000E+00   0.198245E+08   0.198245E+08   0.198313E+08  -0.471631E+00   0.103956E+08   0.103956E+08   0.205918E+02
   0.196917E-03   0.198214E+08   0.198213E+08   0.219330E+08   0.218173E+08   0.000000E+00   0.198214E+08   0.198214E+08   0.198279E+08  -0.471541E+00   0.103940E+08   0.103939E+08   0.245387E+02
   0.239494E-03   0.198170E+08   0.198168E+08   0.200350E+08   0.198761E+08   0.000000E+00   0.198170E+08   0.198170E+08   0.198228E+08  -0.471409E+00   0.103916E+08   0.103916E+08   0.289666E+02
   0.291277E-03   0.198105E+08   0.198102E+08   0.175061E+08   0.172958E+08   0.000000E+00   0.198104E+08   0.198104E+08   0.198155E+08  -0.471219E+00   0.103881E+08   0.103881E+08   0.337305E+02
   0.354256E-03   0.198010E+08   0.198007E+08   0.143090E+08   0.140461E+08   0.000000E+00   0.198009E+08   0.198009E+08   0.198051E+08  -0.470948E+00   0.103830E+08   0.103830E+08   0.385247E+02
   0.430851E-03   0.197874E+08   0.197869E+08   0.105805E+08   0.102800E+08   0.000000E+00   0.197873E+08   0.197873E+08   0.197904E+08  -0.470567E+00   0.103758E+08   0.103757E+08   0.428343E+02
   0.524009E-03   0.197679E+08   0.197673E+08   0.675110E+07   0.645424E+07   0.000000E+00   0.197678E+08   0.197678E+08   0.197698E+08  -0.470040E+00   0.103654E+08   0.103653E+08   0.459500E+02
   0.637308E-03   0.197406E+08   0.197398E+08   0.355240E+07   0.332687E+07   0.000000E+00   0.197405E+08   0.197405E+08   0.197415E+08  -0.469327E+00   0.103508E+08   0.103507E+08   0.471357E+02
