#           k/h    P           
   0.104501E-04   0.493315E+02
   0.127095E-04   0.596399E+02
   0.154573E-04   0.721023E+02
   0.187992E-04   0.871689E+02
   0.228637E-04   0.105384E+03
   0.278068E-04   0.127404E+03
   0.338188E-04   0.154026E+03
   0.411305E-04   0.186209E+03
   0.500230E-04   0.225115E+03
   0.608381E-04   0.272148E+03
   0.739915E-04   0.329003E+03
   0.899887E-04   0.397726E+03
   0.109444E-03   0.480790E+03
   0.133107E-03   0.581176E+03
   0.161885E-03   0.702473E+03
   0.196885E-03   0.849003E+03
   0.239452E-03   0.102595E+04
   0.291222E-03   0.123952E+04
   0.354185E-03   0.149710E+04
   0.430761E-03   0.180745E+04
   0.523892E-03   0.218085E+04
   0.637159E-03   0.262928E+04
   0.774915E-03   0.316655E+04
   0.942454E-03   0.380829E+04
   0.114621E-02   0.457188E+04
   0.139403E-02   0.547594E+04
   0.169542E-02   0.653954E+04
   0.206198E-02   0.778077E+04
   0.250778E-02   0.921457E+04
   0.304997E-02   0.108498E+05
   0.370939E-02   0.126852E+05
   0.451137E-02   0.147042E+05
   0.548674E-02   0.168681E+05
   0.667298E-02   0.191096E+05
   0.811570E-02   0.213241E+05
   0.987034E-02   0.233676E+05
   0.120043E-01   0.250325E+05
   0.145997E-01   0.260997E+05
   0.177562E-01   0.262731E+05
   0.215952E-01   0.253554E+05
   0.259142E-01   0.234321E+05
   0.302332E-01   0.211320E+05
   0.345522E-01   0.188597E+05
   0.388713E-01   0.168532E+05
   0.431903E-01   0.152141E+05
   0.475093E-01   0.139375E+05
   0.518284E-01   0.129971E+05
   0.561474E-01   0.122714E+05
   0.604664E-01   0.116763E+05
   0.647855E-01   0.111205E+05
   0.691045E-01   0.105417E+05
   0.734235E-01   0.990587E+04
   0.777425E-01   0.921348E+04
   0.820616E-01   0.848835E+04
   0.863806E-01   0.777013E+04
   0.906996E-01   0.709663E+04
   0.960627E-01   0.636757E+04
   0.101426E+00   0.578999E+04
   0.106789E+00   0.536773E+04
   0.112152E+00   0.507141E+04
   0.117515E+00   0.485287E+04
   0.122878E+00   0.466380E+04
   0.128241E+00   0.446618E+04
   0.133604E+00   0.423721E+04
   0.138967E+00   0.397321E+04
   0.144330E+00   0.368773E+04
   0.149694E+00   0.340255E+04
   0.155057E+00   0.313904E+04
   0.160420E+00   0.291383E+04
   0.165783E+00   0.273537E+04
   0.171146E+00   0.260124E+04
   0.176509E+00   0.250012E+04
