#           k/h    P           
   0.104501E-04   0.493315E+02
   0.127095E-04   0.596399E+02
   0.154573E-04   0.721023E+02
   0.187992E-04   0.871689E+02
   0.228637E-04   0.105384E+03
   0.278068E-04   0.127404E+03
   0.338188E-04   0.154026E+03
   0.411305E-04   0.186209E+03
   0.500230E-04   0.225115E+03
   0.608381E-04   0.272148E+03
   0.739915E-04   0.329003E+03
   0.899887E-04   0.397726E+03
   0.109444E-03   0.480790E+03
   0.133107E-03   0.581176E+03
   0.161885E-03   0.702473E+03
   0.196885E-03   0.849003E+03
   0.239452E-03   0.102595E+04
   0.291222E-03   0.123952E+04
   0.354185E-03   0.149710E+04
   0.430761E-03   0.180745E+04
   0.523892E-03   0.218085E+04
   0.637159E-03   0.262928E+04
   0.774915E-03   0.316655E+04
   0.942454E-03   0.380829E+04
   0.114621E-02   0.457188E+04
   0.139403E-02   0.547594E+04
   0.169542E-02   0.653954E+04
   0.206198E-02   0.778077E+04
   0.250778E-02   0.921457E+04
   0.304997E-02   0.108498E+05
   0.370939E-02   0.126853E+05
   0.451137E-02   0.147042E+05
   0.548674E-02   0.168681E+05
   0.667298E-02   0.191097E+05
   0.811570E-02   0.213242E+05
   0.987034E-02   0.233679E+05
   0.120043E-01   0.250331E+05
   0.145997E-01   0.261008E+05
   0.177562E-01   0.262751E+05
   0.215952E-01   0.253590E+05
   0.259142E-01   0.234381E+05
   0.302332E-01   0.211409E+05
   0.345522E-01   0.188717E+05
   0.388713E-01   0.168684E+05
   0.431903E-01   0.152326E+05
   0.475093E-01   0.139592E+05
   0.518284E-01   0.130216E+05
   0.561474E-01   0.122983E+05
   0.604664E-01   0.117051E+05
   0.647855E-01   0.111504E+05
   0.691045E-01   0.105719E+05
   0.734235E-01   0.993573E+04
   0.777425E-01   0.924227E+04
   0.820616E-01   0.851561E+04
   0.863806E-01   0.779565E+04
   0.906996E-01   0.712037E+04
   0.960627E-01   0.638930E+04
   0.101426E+00   0.581009E+04
   0.106789E+00   0.538663E+04
   0.112152E+00   0.508945E+04
   0.117515E+00   0.487024E+04
   0.122878E+00   0.468050E+04
   0.128241E+00   0.448209E+04
   0.133604E+00   0.425213E+04
   0.138967E+00   0.398696E+04
   0.144330E+00   0.370019E+04
   0.149694E+00   0.341371E+04
   0.155057E+00   0.314896E+04
   0.160420E+00   0.292268E+04
   0.165783E+00   0.274332E+04
   0.171146E+00   0.260848E+04
   0.176509E+00   0.250678E+04
