#    L    TT             EE             BB             TE          
     2   0.107869E+04   0.466886E-01   0.185827E-05   0.324533E+01
     3   0.101902E+04   0.745215E-01   0.371713E-05   0.399240E+01
     4   0.959865E+03   0.820537E-01   0.619650E-05   0.405623E+01
     5   0.913634E+03   0.713506E-01   0.929715E-05   0.372302E+01
     6   0.880169E+03   0.517433E-01   0.130200E-04   0.322561E+01
     7   0.857492E+03   0.324307E-01   0.173662E-04   0.268987E+01
     8   0.842787E+03   0.185585E-01   0.223370E-04   0.217969E+01
     9   0.834200E+03   0.108890E-01   0.279338E-04   0.174877E+01
    10   0.830351E+03   0.762556E-02   0.341581E-04   0.142460E+01
    11   0.829957E+03   0.649731E-02   0.410118E-04   0.120914E+01
    12   0.833087E+03   0.597421E-02   0.484965E-04   0.109159E+01
    13   0.837999E+03   0.558630E-02   0.566142E-04   0.104953E+01
    14   0.844009E+03   0.508459E-02   0.653668E-04   0.106393E+01
    15   0.851458E+03   0.463064E-02   0.747564E-04   0.111573E+01
    16   0.860704E+03   0.447074E-02   0.847851E-04   0.118690E+01
    17   0.871499E+03   0.474048E-02   0.954551E-04   0.126235E+01
    18   0.882797E+03   0.530807E-02   0.106768E-03   0.133149E+01
    19   0.895702E+03   0.593125E-02   0.118727E-03   0.139188E+01
    20   0.908796E+03   0.645394E-02   0.131334E-03   0.144124E+01
    21   0.922235E+03   0.689981E-02   0.144590E-03   0.148328E+01
    22   0.936094E+03   0.740600E-02   0.158499E-03   0.151969E+01
    23   0.950165E+03   0.813897E-02   0.173061E-03   0.155366E+01
    24   0.964537E+03   0.920875E-02   0.188279E-03   0.158879E+01
    25   0.979227E+03   0.106332E-01   0.204154E-03   0.162777E+01
    26   0.994101E+03   0.123620E-01   0.220689E-03   0.167365E+01
    27   0.100932E+04   0.143274E-01   0.237885E-03   0.172468E+01
    28   0.102469E+04   0.164933E-01   0.255743E-03   0.177900E+01
    29   0.104035E+04   0.188508E-01   0.274265E-03   0.183420E+01
    30   0.105634E+04   0.214058E-01   0.293451E-03   0.188612E+01
    31   0.107244E+04   0.241576E-01   0.313304E-03   0.193091E+01
    32   0.108880E+04   0.270899E-01   0.333823E-03   0.196549E+01
    33   0.110548E+04   0.301748E-01   0.355010E-03   0.198677E+01
    34   0.112242E+04   0.333983E-01   0.376865E-03   0.199290E+01
    35   0.113961E+04   0.367670E-01   0.399388E-03   0.198431E+01
    36   0.115697E+04   0.403064E-01   0.422581E-03   0.196122E+01
    37   0.117442E+04   0.440625E-01   0.446441E-03   0.192494E+01
    38   0.119219E+04   0.480824E-01   0.470971E-03   0.187868E+01
    39   0.121026E+04   0.523668E-01   0.496168E-03   0.182352E+01
    40   0.122842E+04   0.569106E-01   0.522034E-03   0.175977E+01
    41   0.124681E+04   0.617164E-01   0.548567E-03   0.168748E+01
    42   0.126520E+04   0.667974E-01   0.575767E-03   0.160641E+01
    43   0.128375E+04   0.721692E-01   0.603633E-03   0.151626E+01
    44   0.130229E+04   0.778329E-01   0.632164E-03   0.141760E+01
    45   0.132120E+04   0.837995E-01   0.661358E-03   0.131110E+01
    46   0.134041E+04   0.900767E-01   0.691216E-03   0.119505E+01
    47   0.135976E+04   0.966436E-01   0.721736E-03   0.106811E+01
    48   0.137918E+04   0.103480E+00   0.752917E-03   0.931676E+00
    49   0.139874E+04   0.110542E+00   0.784756E-03   0.786564E+00
    50   0.141865E+04   0.117780E+00   0.817255E-03   0.626803E+00
