#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104501E-04   0.198309E+08   0.198309E+08   0.264274E+08   0.264270E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198387E+08  -0.471824E+00   0.103990E+08   0.103990E+08   0.586112E+01
   0.127095E-04   0.198309E+08   0.198309E+08   0.264208E+08   0.264202E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198386E+08  -0.471824E+00   0.103990E+08   0.103990E+08   0.712783E+01
   0.154573E-04   0.198309E+08   0.198309E+08   0.264110E+08   0.264102E+08   0.000000E+00   0.198309E+08   0.198309E+08   0.198386E+08  -0.471823E+00   0.103990E+08   0.103990E+08   0.866803E+01
   0.187992E-04   0.198308E+08   0.198308E+08   0.263966E+08   0.263953E+08   0.000000E+00   0.198308E+08   0.198308E+08   0.198386E+08  -0.471823E+00   0.103990E+08   0.103990E+08   0.105405E+02
   0.228637E-04   0.198308E+08   0.198308E+08   0.263752E+08   0.263734E+08   0.000000E+00   0.198308E+08   0.198308E+08   0.198385E+08  -0.471821E+00   0.103989E+08   0.103989E+08   0.128167E+02
   0.278068E-04   0.198307E+08   0.198307E+08   0.263436E+08   0.263409E+08   0.000000E+00   0.198307E+08   0.198307E+08   0.198385E+08  -0.471819E+00   0.103989E+08   0.103989E+08   0.155827E+02
   0.338188E-04   0.198306E+08   0.198306E+08   0.262969E+08   0.262929E+08   0.000000E+00   0.198306E+08   0.198306E+08   0.198384E+08  -0.471817E+00   0.103989E+08   0.103988E+08   0.189427E+02
   0.411305E-04   0.198305E+08   0.198305E+08   0.262280E+08   0.262221E+08   0.000000E+00   0.198305E+08   0.198305E+08   0.198382E+08  -0.471812E+00   0.103988E+08   0.103988E+08   0.230220E+02
   0.500230E-04   0.198303E+08   0.198303E+08   0.261263E+08   0.261177E+08   0.000000E+00   0.198303E+08   0.198303E+08   0.198380E+08  -0.471806E+00   0.103987E+08   0.103987E+08   0.279704E+02
   0.608381E-04   0.198300E+08   0.198300E+08   0.259767E+08   0.259640E+08   0.000000E+00   0.198300E+08   0.198300E+08   0.198376E+08  -0.471797E+00   0.103985E+08   0.103985E+08   0.339656E+02
   0.739915E-04   0.198296E+08   0.198295E+08   0.257568E+08   0.257381E+08   0.000000E+00   0.198296E+08   0.198296E+08   0.198371E+08  -0.471784E+00   0.103983E+08   0.103983E+08   0.412157E+02
   0.899887E-04   0.198289E+08   0.198289E+08   0.254346E+08   0.254073E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198364E+08  -0.471765E+00   0.103979E+08   0.103979E+08   0.499592E+02
   0.109444E-03   0.198280E+08   0.198279E+08   0.249649E+08   0.249252E+08   0.000000E+00   0.198280E+08   0.198280E+08   0.198353E+08  -0.471736E+00   0.103974E+08   0.103974E+08   0.604612E+02
   0.133107E-03   0.198266E+08   0.198265E+08   0.242848E+08   0.242273E+08   0.000000E+00   0.198266E+08   0.198266E+08   0.198337E+08  -0.471694E+00   0.103967E+08   0.103967E+08   0.729992E+02
   0.161885E-03   0.198245E+08   0.198244E+08   0.233100E+08   0.232278E+08   0.000000E+00   0.198245E+08   0.198245E+08   0.198313E+08  -0.471631E+00   0.103956E+08   0.103955E+08   0.878340E+02
   0.196885E-03   0.198215E+08   0.198213E+08   0.219344E+08   0.218187E+08   0.000000E+00   0.198214E+08   0.198214E+08   0.198279E+08  -0.471541E+00   0.103940E+08   0.103939E+08   0.105151E+03
   0.239452E-03   0.198170E+08   0.198167E+08   0.200370E+08   0.198781E+08   0.000000E+00   0.198170E+08   0.198170E+08   0.198228E+08  -0.471409E+00   0.103916E+08   0.103915E+08   0.124959E+03
   0.291222E-03   0.198105E+08   0.198101E+08   0.175089E+08   0.172986E+08   0.000000E+00   0.198104E+08   0.198104E+08   0.198155E+08  -0.471219E+00   0.103881E+08   0.103880E+08   0.146927E+03
   0.354185E-03   0.198010E+08   0.198004E+08   0.143125E+08   0.140497E+08   0.000000E+00   0.198010E+08   0.198010E+08   0.198051E+08  -0.470948E+00   0.103831E+08   0.103829E+08   0.170147E+03
   0.430761E-03   0.197874E+08   0.197865E+08   0.105847E+08   0.102842E+08   0.000000E+00   0.197873E+08   0.197873E+08   0.197904E+08  -0.470567E+00   0.103758E+08   0.103755E+08   0.192871E+03
   0.523892E-03   0.197680E+08   0.197668E+08   0.675524E+07   0.645835E+07   0.000000E+00   0.197678E+08   0.197678E+08   0.197698E+08  -0.470041E+00   0.103654E+08   0.103651E+08   0.212336E+03
   0.637159E-03   0.197408E+08   0.197391E+08   0.355552E+07   0.332986E+07   0.000000E+00   0.197405E+08   0.197405E+08   0.197415E+08  -0.469328E+00   0.103508E+08   0.103504E+08   0.225002E+03
   0.774915E-03   0.197030E+08   0.197008E+08   0.167721E+07   0.158427E+07   0.000000E+00   0.197027E+08   0.197027E+08   0.197032E+08  -0.468378E+00   0.103307E+08   0.103302E+08   0.227523E+03
   0.942454E-03   0.196517E+08   0.196489E+08   0.105472E+07   0.108379E+07   0.000000E+00   0.196512E+08   0.196512E+08   0.196516E+08  -0.467124E+00   0.103034E+08   0.103028E+08   0.218331E+03
   0.114621E-02   0.195828E+08   0.195796E+08   0.714772E+06   0.768131E+06   0.000000E+00   0.195823E+08   0.195823E+08   0.195825E+08  -0.465470E+00   0.102670E+08   0.102664E+08   0.198545E+03
   0.139403E-02   0.194917E+08   0.194882E+08   0.255380E+06   0.283404E+06   0.000000E+00   0.194912E+08   0.194912E+08   0.194913E+08  -0.463292E+00   0.102191E+08   0.102184E+08   0.171069E+03
   0.169542E-02   0.193726E+08   0.193689E+08   0.148031E+06  -0.168798E+06   0.000000E+00   0.193720E+08   0.193720E+08   0.193720E+08  -0.460450E+00   0.101565E+08   0.101558E+08   0.140078E+03
   0.206198E-02   0.192184E+08   0.192147E+08   0.260609E+04  -0.113191E+06   0.000000E+00   0.192178E+08   0.192178E+08   0.192178E+08  -0.456781E+00   0.100755E+08   0.100749E+08   0.111304E+03
   0.250778E-02   0.190212E+08   0.190174E+08   0.876017E+04  -0.757300E+05   0.000000E+00   0.190206E+08   0.190206E+08   0.190206E+08  -0.452091E+00   0.997206E+07   0.997139E+07   0.889047E+02
